Becoming,Michelle Obama,$4.39
Anne Frank: The Diary of a Young Girl,Anne Frank,$4.79
Night,Elie Wiesel,$4.19
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,$4.89
Tuesdays with Morrie,Mitch Albom,$4.29
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,$4.19
Into the Wild,Jon Krakauer,$4.19
Educated,Tara Westover,$4.19
The Glass Castle,Jeannette Walls,$4.49
The Immortal Life of Henrietta Lacks,Rebecca Skloot,$4.59
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,$4.89
I Know Why the Caged Bird Sings,Maya Angelou,$4.29
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,$4.69
Spare,Prince Harry,$4.69
Untamed,Glennon Doyle,$4.39
The Hiding Place,John Sherrill,$4.79
Man's Search for Meaning,Viktor E. Frankl,$5.79
The Year of Magical Thinking,Joan Didion,$6.59
On Writing: A Memoir of the Craft,Stephen King,$5.09
The 48 Laws of Power,Robert Greene,$10.69
Diana: Her True Story,Andrew Morton,$3.69
My Life in France,Julia Child,$4.39
Eat Pray Love,Elizabeth Gilbert,$3.99
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,$4.79
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,$4.59
No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin,$4.99
The Autobiography of Benjamin Franklin,Benjamin Franklin,$4.19
The Liars' Club: A Memoir,Mary Karr,$4.19
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,$4.19
Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,$4.29
All Things Wise an Wonderful,James Herriot,$3.59
"Walden, or, Life in the Woods / Civil Disobedience",Henry David Thoreau,$4.29
Einstein: His Life and Universe,Walter Isaacson,$4.99
Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,$4.39
"The Other Wes Moore: One Name, Two Fates",Wes Moore,$4.39
Elvis and Me,Priscilla Presley,$4.89
Ben and Me: An Astonishing Life of Benjamin Franklin by His Good Mouse Amos,Robert Lawson,$4.59
Brown Girl Dreaming,Jacqueline Woodson,$4.09
Through Gates of Splendor,Elisabeth Elliot,$3.99
Me Talk Pretty One Day,David Sedaris,$4.39
Memorial Days,Geraldine Brooks,$19.39
Source Code: My Beginnings,Bill Gates,$17.99
One Day Everyone Will Have Always Been Against This,Omar El Akkad,$21.46
"The Harder I Fight, the More I Love You: A Memoir",Neko Case,$22.05
"The Last Manager: How Earl Weaver Tricked, Tormented, and Reinvented Baseball",John W. Miller,$22.98
Jane Austen's Bookshelf: A Rare Book Collector's Quest to Find the Women Writers Who Shaped a Legend,Rebecca Romney,$22.97
The Tell: A Memoir,Amy Griffin,$22.10
Fearless and Free: A Memoir,Josephine Baker,$23.28
Miracles and Wonder: The Historical Mystery of Jesus,Elaine Pagels,$22.98
"Waiting on the Moon: Artists, Poets, Drifters, Grifters, and Goddesses",Peter Wolf,$22.98
Hate Won't Win: Find Your Power and Leave This Place Better Than We Found It,Mallory McMorrow,$22.98
I Wish Someone Had Told Me . . .: The Best Advice for Building a Great Career and a Meaningful Life,Anon9780063411470,$22.10
Lorne: The Man Who Invented Saturday Night,Susan Morrison,$27.34
Unti9780063438644,Amie Parnes,$24.25
The Friendship Bench: How Fourteen Grandmothers Inspired a Community Mental Healthcare Revolution,MD Dixon Chibanda,$15.72
Dark City Dames: The Women Who Defined Film Noir,Eddie Muller,$25.04
When the Going Was Good: An Editor's Adventures During the Last Golden Age of Magazines,Graydon Carter,$24.58
The Trading Game: A Confession,,$14.48
The L Word: A Photographic Journal,Jennifer Beals,$43.27
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,$24.87
