title,author,price
The Alchemist,Paulo Coelho,$4.89
The Glass Castle,Jeannette Walls,$4.49
Into the Wild,Jon Krakauer,$4.19
How to Win Friends and Influence People,Dale Carnegie,$4.79
I Know Why the Caged Bird Sings,Maya Angelou,$4.29
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,$4.59
The Bell Jar,Sylvia Plath,$7.89
Animal Farm: A Fairy Story,George Orwell,$4.99
The Qur'an,Abdullah Yusuf Ali,$4.09
If You Give a Mouse a Cookie,Laura Joffe Numeroff,$3.99
How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster,$4.69
The Works of Josephus,Flavius Josephus,$10.29
First Big Book of Why,Amy Shields,$4.59
The Electric Kool-Aid Acid Test,Tom Wolfe,$6.69
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,$4.89
A Short History of Nearly Everything,Bill Bryson,$4.09
The Healing Herbs: The Ultimate Guide To The Curative Power Of Nature's Medicines,Michael Castleman,$5.39
Secrets of Companion Planting,Louise Riotte,$8.69
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,$4.19
"Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Toni Weschler,$4.79
How to Read the Bible for All Its Worth,Douglas K. Stuart,$4.19
What to Expect When You're Expecting,Heidi Murkoff,$3.89
The Hero with a Thousand Faces,Joseph Campbell,$7.09
The Black Swan,Nassim Nicholas Taleb,$4.99
The Only Astrology Book You'll Ever Need,Joanna Martine Woolfolk,$7.09
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,$6.59
The Green Pharmacy: New Discoveries in Herbal Remedies for Common Diseases and Conditions from the World's Foremost Authority on Healing Herbs,James A. Duke,$4.39
Columbine,Dave Cullen,$4.79
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,$4.09
The Gift of Fear,Gavin de Becker,$6.09
Man's Search for Meaning,Viktor E. Frankl,$5.79
How the Grinch Stole Christmas!,Dr. Seuss,$3.99
Mere Christianity,C.S. Lewis,$4.39
The Very Hungry Caterpillar,Eric Carle,$3.59
The Giving Tree,Shel Silverstein,$4.79
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,$7.39
The Little Prince,Antoine de Saint-Exupéry,$4.19
Green Eggs and Ham,Dr. Seuss,$3.59
Night,Elie Wiesel,$4.19
Tuesdays with Morrie,Mitch Albom,$4.29
"Carry On, Mr. Bowditch",Jean Lee Latham,$5.29
Dear Zoo,Rod Campbell,$3.59
Bear Snores On,Karma Wilson,$3.99
The First Days of School,Rosemary T. Wong,$4.59
